Order ID,Order Date,Title,Price,Quantity
123-4567890-1234567,2024-01-15,Wireless Bluetooth Headphones,29.99,1
123-4567890-1234567,2024-01-15,USB-C Charging Cable,12.99,2
123-4567890-2345678,2024-01-20,Kindle Paperwhite,139.99,1
123-4567890-3456789,2024-01-25,Amazon Echo Dot,49.99,1
123-4567890-3456789,2024-01-25,Smart Light Bulb Pack,24.99,1
123-4567890-4567890,2024-01-30,Wireless Mouse,19.99,1
123-4567890-5678901,2024-02-05,Bluetooth Speaker,79.99,1
123-4567890-6789012,2024-02-10,Phone Case,15.99,1
123-4567890-7890123,2024-02-15,Laptop Stand,34.99,1
123-4567890-8901234,2024-02-20,Desk Lamp,45.99,1 
